ATCOCode,CommonName,Street,NptgLocalityCode,LocalityName,GridType,Longitude,Latitude,StopType,BusStopType,TimingStatus,Status
1980SN120635,Dock Gate 4,Platform Road,E0042014,Queens Park,UKOS,-1.39927,50.89679,BCT,MKD,OTH,inactive
1980SNA09298,Crematorium,Bassett Green Road,E0041968,Bassett Green,UKOS,-1.39102,50.94521,BCT,MKD,OTH,active
1980SNA90968,Crematorium,Bassett Green Road,E0041968,Bassett Green,UKOS,-1.39108,50.94539,BCT,MKD,OTH,active
1980SNA19722,Anglesea Terrace,Albert Road North,E0041979,Chapel,UKOS,-1.39113,50.90121,BCT,MKD,OTH,active
1980SNA19721,Anglesea Terrace,Albert Road North,E0041979,Chapel,UKOS,-1.39096,50.90115,BCT,MKD,OTH,active
1980SNA19771,Wellburn Court,Wakefield Road,E0042002,Midanbury,UKOS,-1.35846,50.92765,BCT,CUS,OTH,active
1980SNA90901,Wellburn Court,Wakefield Road,E0042002,Midanbury,UKOS,-1.35804,50.92799,BCT,MKD,OTH,active
1980SNA19772,Chester Road,Wakefield Road,E0042002,Midanbury,UKOS,-1.36045,50.92488,BCT,CUS,OTH,active
1980SNA90900,Chester Road,Wakefield Road,E0042002,Midanbury,UKOS,-1.36062,50.92461,BCT,MKD,OTH,active
1980SNA19773,Huntly Way,Glenfield Avenue,E0041975,Bitterne,UKOS,-1.36606,50.91682,BCT,MKD,OTH,active
1980SNA19774,Caxton Avenue,Upper Deacon Road,E0042030,Thornhill Park,UKOS,-1.34735,50.91206,BCT,HAR,OTH,active
1980SNA19777,Southampton Uni Interchange,bus access road,E0041989,Highfield,UKOS,-1.39652,50.93595,BCT,MKD,OTH,inactive
1980HAA13668,Highfield Interchange,bus access road,E0041989,Highfield,UKOS,-1.39687,50.93628,BCT,MKD,OTH,active
1980SNA90971,Centenary Building,bus access road,E0041989,Highfield,UKOS,-1.39724,50.93689,BCT,MKD,OTH,active
1980SNA19692,Holly Oak Road,Aldermoor Avenue,E0041964,Aldermoor,UKOS,-1.43971,50.93787,BCT,MKD,OTH,inactive
1980SNA19709,Southampton Central Station,Station Forecourt,N0077117,Southampton City Centre,UKOS,-1.41376,50.90785,BCT,CUS,OTH,inactive
1980SNA19711,Freemantle Common Road,Spring Road,E0041975,Bitterne,UKOS,-1.36388,50.91214,BCT,MKD,OTH,active
1980SNA19712,Freemantle Common Road,Spring Road,E0041975,Bitterne,UKOS,-1.36374,50.91176,BCT,MKD,OTH,active
1980SN120160,Montefiore House,Wessex Lane,E0042028,Swaythling,UKOS,-1.37684,50.93742,BCT,MKD,OTH,active
1980SN120161,Montefiore House,Wessex Lane,E0042028,Swaythling,UKOS,-1.37706,50.93727,BCT,MKD,OTH,active
1980SNA19780,Montefiore House,Wessex Lane,E0042028,Swaythling,UKOS,-1.37664,50.93737,BCT,MKD,OTH,inactive
1980SN12921A,Bitterne Shops,West End Road,E0041975,Bitterne,UKOS,-1.36148,50.91513,BCT,MKD,OTH,active
1980SN12922A,Bitterne Shops,West End Road,E0041975,Bitterne,UKOS,-1.36142,50.91495,BCT,MKD,OTH,active
1980SNA90798,Bitterne Shops,West End Road,E0041975,Bitterne,UKOS,-1.36114,50.91514,BCT,MKD,OTH,active
1980SNA90830,City College,Chapel Road,N0080456,St Marys,UKOS,-1.39386,50.90235,BCT,MKD,OTH,active
1980SNA90831,City College,Chapel Road,N0080456,St Marys,UKOS,-1.39557,50.90216,BCT,MKD,OTH,active
1980HA120642,Ocean Village,Canute Road,N0073219,Ocean Village,UKOS,-1.39415,50.89693,BCT,MKD,OTH,active
1980HA120641,Ocean Village,Canute Road,N0073219,Ocean Village,UKOS,-1.39398,50.89704,BCT,MKD,OTH,active
1980HA121029,Ocean Village,Ocean Way,N0073219,Ocean Village,UKOS,-1.39388,50.89572,BCT,MKD,OTH,inactive
1980SNA90864,Ocean Village,Ocean Way,N0073219,Ocean Village,UKOS,-1.39364,50.8958,BCT,MKD,OTH,inactive
1980SNA90865,Cobbett Road,Bitterne Road West,N0077162,Bitterne Manor,UKOS,-1.3744,50.91767,BCT,MKD,OTH,active
1980SN120533,Park Walk,New Road,N0077117,Southampton City Centre,UKOS,-1.40352,50.90685,BCT,MKD,OTH,active
1980SNA40401,Park Walk,New Road,N0077117,Southampton City Centre,UKOS,-1.40352,50.90699,BCT,MKD,OTH,active
1980SNA40402,Giddy Bridge,London Road,E0041969,Bedford Place,UKOS,-1.40462,50.911,BCT,MKD,OTH,active
1980SN120522,Giddy Bridge,London Road,E0041969,Bedford Place,UKOS,-1.40404,50.91185,BCT,MKD,OTH,active
1980SNA40501,Lennox Close,Rownhams Road North,N0073217,Lord's Hill,UKOS,-1.45038,50.94614,BCT,MKD,OTH,active
1980SN122019,Lennox Close,Rownhams Road North,N0073217,Lord's Hill,UKOS,-1.45028,50.94606,BCT,MKD,OTH,active
1980SNA13768,Telephone House,High Street,N0077173,Town Quay,UKOS,-1.4042,50.89728,BCT,MKD,OTH,active
1980SNA13769,Telephone House,High Street,N0077173,Town Quay,UKOS,-1.40407,50.89746,BCT,MKD,OTH,active
1980SNA19469,Library,Commerical Street,E0041975,Bitterne,UKOS,-1.35474,50.91482,BCT,MKD,OTH,active
1980SN120474,Library,Bitterne Road East,E0041975,Bitterne,UKOS,-1.35574,50.91452,BCT,MKD,OTH,active
1980SNA19470,Balaclava Road,Shales Road,E0041975,Bitterne,UKOS,-1.35149,50.9181,BCT,MKD,OTH,active
1980SNA90945,Balaclava Road,Shales Road,E0041975,Bitterne,UKOS,-1.3518,50.91791,BCT,CUS,OTH,active
1980SNA19471,Burnham Chase,Taunton Drive,E0041975,Bitterne,UKOS,-1.34771,50.917,BCT,MKD,OTH,active
1980SNA90946,Burnham Chase,Taunton Drive,E0041975,Bitterne,UKOS,-1.34789,50.91727,BCT,CUS,OTH,active
1980SNA13670,Avenue Campus,Highfield Road,E0041989,Highfield,UKOS,-1.40418,50.92861,BCT,MKD,OTH,active
1980SNA13762,Red Jet Terminal,,N0077173,Town Quay,UKOS,-1.40595,50.89476,BCT,MKD,OTH,active
1980SNA13765,Queen Elizabeth II Terminal,Test Road,E0041983,Eastern Docks,UKOS,-1.39545,50.88549,BCT,CUS,OTH,inactive
1980SNA13766,Platform Tavern,Town Quay,N0077173,Town Quay,UKOS,-1.40313,50.89623,BCT,MKD,OTH,active
1980SNA13767,Platform Tavern,Town Quay,N0077173,Town Quay,UKOS,-1.40326,50.89606,BCT,MKD,OTH,active
1980SNA19472,Dalmally Gardens,Midanbury Lane,E0041975,Bitterne,UKOS,-1.36851,50.92227,BCT,MKD,OTH,active
1980SN120068,General Hospital,Hospital Grounds,N0080795,Southampton General,UKOS,-1.43428,50.93371,BCT,MKD,OTH,inactive
1980SNA19482,General Hospital,unamed private road,N0080795,Southampton General,UKOS,-1.43602,50.93406,BCT,MKD,OTH,inactive
1980SNA19483,Midanbury Crescent,Avon Road,E0042002,Midanbury,UKOS,-1.3662,50.92449,BCT,MKD,OTH,active
1980SN120108,Furzedown Road,Highfield Avenue,E0041989,Highfield,UKOS,-1.40281,50.93263,BCT,MKD,OTH,active
1980SN120109,Furzedown Road,Highfield Lane,E0041989,Highfield,UKOS,-1.40198,50.93191,BCT,MKD,OTH,active
1980SNA19495,Furzedown Road,Highfield Avenue,E0041989,Highfield,UKOS,-1.40286,50.93253,BCT,MKD,OTH,active
1980SNA19670,Channels Farm Road,Bassett Green Road,E0041968,Bassett Green,UKOS,-1.37756,50.94266,BCT,MKD,OTH,inactive
1980SNA19671,Channels Farm Road,Bassett Green Road,E0041968,Bassett Green,UKOS,-1.37709,50.94268,BCT,MKD,OTH,inactive
1980SNA19679,Oasis Academy Mayfield,The Grove,E0042023,Sholing,UKOS,-1.34901,50.89237,BCT,CUS,OTH,inactive
1980SNA19474,Bracklesham Close,Middle Road,E0042037,Woolston,UKOS,-1.36147,50.89814,BCT,MKD,OTH,active
1980SNA19475,Itchen College,Middle Road,E0042023,Sholing,UKOS,-1.35648,50.90823,BCT,MKD,OTH,active
1980SNA19478,Itchen College,Middle Road,E0042023,Sholing,UKOS,-1.35698,50.90744,BCT,MKD,OTH,active
1980SNA19476,Kenson Gardens,Middle Road,E0042023,Sholing,UKOS,-1.36012,50.90195,BCT,MKD,OTH,active
1980SN120590,The Sholing Technology College,Middle Road,E0042023,Sholing,UKOS,-1.35889,50.90484,BCT,MKD,OTH,active
1980SNA19477,The Sholing Technology College,Middle Road,E0042023,Sholing,UKOS,-1.35828,50.90557,BCT,MKD,OTH,active
1980SN121049,Bassett Green Road,Stoneham Lane,E0042028,Swaythling,UKOS,-1.3805,50.94258,BCT,MKD,OTH,active
1980SN121048,Bassett Green Road,Stoneham Lane,E0042028,Swaythling,UKOS,-1.38035,50.94258,BCT,MKD,OTH,active
